"ID","starting","grazing","environmt","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
9,"low",0.05,0.232160804020101,0.129739720558882,0.466489421157685,0.453702605942013,0.561149853038862,0.243170459081836,0.627089820359281
21,"low",0.05,0.280402010050251,0.362272255489022,0.583833133732535,0.550052533153315,0.644949804374475,0.364578043912176,0.273149700598802
15,"low",0.05,0.256281407035176,0.267051497005988,0.519279041916168,0.505607022365194,0.598353167842707,0.331185628742515,0.401762874251497
22,"low",0.05,0.284422110552764,0.379817165668663,0.581958483033932,0.547111021571538,0.638719076445038,0.372744910179641,0.247437924151697
17,"low",0.05,0.264321608040201,0.319299800399202,0.548141317365269,0.535517367783475,0.610486603838816,0.350781636726547,0.329918562874251
12,"low",0.05,0.244221105527638,0.22225628742515,0.488139720558882,0.484717907806808,0.575906260952476,0.317334930139721,0.46040878243513
3,"low",0.05,0.208040201005025,0.0257437125748503,0.384554890219561,0.37622920000387,0.522009475038017,0.122721756487026,0.851534530938124
2,"low",0.05,0.204020100502513,0.0352774451097804,0.367063473053892,0.468642554318865,0.506902995497775,0.131474650698603,0.833247904191617
20,"low",0.05,0.276381909547739,0.359247105788423,0.574704191616766,0.534541729620859,0.635747167687843,0.372056686626747,0.26869620758483
23,"low",0.05,0.288442211055276,0.39071377245509,0.599393213572854,0.555118543006804,0.650638457192282,0.371279840319361,0.238006387225549
6,"low",0.05,0.220100502512563,0.0519776447105788,0.418514171656687,0.426136357502726,0.532635513398429,0.155433133732535,0.792589221556886
7,"low",0.05,0.224120603015075,0.115493013972056,0.427693413173653,0.454892990462537,0.540796335760061,0.222325748502994,0.66218123752495
19,"low",0.05,0.272361809045226,0.336126946107784,0.550557285429142,0.527699896545263,0.622595871904918,0.359429141716567,0.304443912175649
10,"low",0.05,0.236180904522613,0.176870259481038,0.474533333333333,0.492977344573137,0.578009104296899,0.274994810379242,0.548134930139721
4,"low",0.05,0.212060301507538,0.0638882235528942,0.395425149700599,0.429972733403605,0.52584348589004,0.175066666666667,0.761045109780439
13,"low",0.05,0.248241206030151,0.210926147704591,0.499397205588822,0.492729830533553,0.591739219637993,0.302665868263473,0.486407984031936
8,"low",0.05,0.228140703517588,0.112966067864271,0.438373652694611,0.452752370233148,0.550888813591548,0.220522155688623,0.666511776447106
16,"low",0.05,0.260301507537688,0.285622355289421,0.527524151696607,0.517603515019762,0.601841125552028,0.350186826347305,0.364190818363273
5,"low",0.05,0.21608040201005,0.0472063872255489,0.39305628742515,0.445820132009536,0.51955443475288,0.151994411177645,0.800799201596806
