"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
355,"low",TRUE,FALSE,0.165,0.72,0.05,NA,NA,0,0,0.0907195608782435,0.909280439121756
358,"low",TRUE,FALSE,0.165,0.78,0.05,NA,NA,0,0,0.0919423153692615,0.908057684630739
357,"low",TRUE,FALSE,0.165,0.76,0.05,NA,NA,0,0,0.0887061876247505,0.91129381237525
312,"low",TRUE,FALSE,0.099,0.68,0.05,0.2,0.2,0.499560479041916,0.579876098184115,0.376691616766467,0.123747904191617
360,"low",TRUE,FALSE,0.165,0.82,0.05,NA,NA,0,0,0.0919840319361277,0.908015968063872
359,"low",TRUE,FALSE,0.165,0.8,0.05,NA,NA,0,0,0.0903590818363273,0.909640918163673
361,"low",TRUE,FALSE,0.165,0.84,0.05,NA,NA,0,0,0.0925932135728543,0.907406786427146
319,"low",TRUE,FALSE,0.099,0.82,0.05,0.2,0.2,0.615702594810379,0.660032455348337,0.31240998003992,0.0718874251497006
318,"low",TRUE,FALSE,0.099,0.8,0.05,0.2,0.2,0.603868263473054,0.651245264024065,0.320699001996008,0.0754327345309381
371,"high",TRUE,FALSE,0.033,0.22,0.05,NA,NA,0,0,0.0878255489021956,0.912174451097804
370,"high",TRUE,FALSE,0.033,0.2,0.05,NA,NA,0,0,0.0921333333333333,0.907866666666667
372,"high",TRUE,FALSE,0.033,0.24,0.05,NA,NA,0,0,0.0922397205588822,0.907760279441118
373,"high",TRUE,FALSE,0.033,0.26,0.05,NA,NA,0.0269357285429142,0.381959880703792,0.129404391217565,0.843659880239521
374,"high",TRUE,FALSE,0.033,0.28,0.05,NA,NA,0.140735329341317,0.415100612703407,0.274357684630739,0.584906986027944
375,"high",TRUE,FALSE,0.033,0.3,0.05,0.1,0.1,0.25002874251497,0.452852509811657,0.360207584830339,0.389763672654691
362,"low",TRUE,FALSE,0.165,0.86,0.05,0.3,0.3,0.381877245508982,0.506307876994315,0.414194810379241,0.203927944111776
376,"high",TRUE,FALSE,0.033,0.32,0.05,0.1,0.1,0.322039720558882,0.484820198402368,0.387449900199601,0.290510379241517
363,"low",TRUE,FALSE,0.165,0.88,0.05,0.3,0.3,0.412334730538922,0.523318911020632,0.412424550898204,0.175240718562874
313,"low",TRUE,FALSE,0.099,0.7,0.05,0.2,0.2,0.519832135728543,0.591449675244509,0.368295808383234,0.111872055888224
377,"high",TRUE,FALSE,0.033,0.34,0.05,0.1,0.1,0.378899001996008,0.511596911803119,0.395114570858283,0.225986427145709
364,"low",TRUE,FALSE,0.165,0.9,0.05,0.3,0.3,0.434934131736527,0.535145831662536,0.407533133732535,0.157532734530938
365,"low",TRUE,FALSE,0.165,0.92,0.05,0.3,0.3,0.458943113772455,0.548952632878059,0.397989620758483,0.143067265469062
315,"low",TRUE,FALSE,0.099,0.74,0.05,0.2,0.2,0.555651497005988,0.617022308441867,0.348507784431138,0.0958407185628743
317,"low",TRUE,FALSE,0.099,0.78,0.05,0.2,0.2,0.589068662674651,0.640140918768146,0.329466067864271,0.0814652694610778
378,"high",TRUE,FALSE,0.033,0.36,0.05,0.1,0.1,0.434152295409182,0.540759347578695,0.389264870259481,0.176582834331337
366,"low",TRUE,FALSE,0.165,0.94,0.05,0.3,0.3,0.478914770459082,0.561522913820041,0.391988622754491,0.129096606786427
316,"low",TRUE,FALSE,0.099,0.76,0.05,0.2,0.2,0.571073652694611,0.628632051806307,0.340076447105788,0.0888499001996008
387,"high",TRUE,FALSE,0.033,0.54,0.05,0.1,0.1,0.681417365269461,0.713127213583029,0.264557085828343,0.0540255489021956
314,"low",TRUE,FALSE,0.099,0.72,0.05,0.2,0.2,0.542897604790419,0.60720708992358,0.356020758483034,0.101081636726547
367,"low",TRUE,FALSE,0.165,0.96,0.05,0.3,0.3,0.489203393213573,0.568637439632747,0.384479840319361,0.126316766467066
388,"high",TRUE,FALSE,0.033,0.56,0.05,0.1,0.1,0.69345369261477,0.722290771601869,0.256341317365269,0.0502049900199601
390,"high",TRUE,FALSE,0.033,0.6,0.05,0.1,0.1,0.722708582834331,0.746554804241685,0.234276447105788,0.0430149700598802
391,"high",TRUE,FALSE,0.033,0.62,0.05,0.1,0.1,0.733556686626747,0.755309281474313,0.22612255489022,0.0403207584830339
389,"high",TRUE,FALSE,0.033,0.58,0.05,0.1,0.1,0.707107784431138,0.734472093457778,0.245418962075848,0.047473253493014
