"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
3,"low",TRUE,0,0.28,0.1,NA,NA,0.127632734530938,0.417462414486566,0.248852694610778,0.623514570858283
2,"low",TRUE,0,0.24,0.1,NA,NA,0,0,0.0926594810379242,0.907340518962076
22,"low",TRUE,0.005,0.2,0.1,NA,NA,0,0,0.0921804391217565,0.907819560878244
1,"low",TRUE,0,0.2,0.1,NA,NA,0,0,0.0930546906187625,0.906945309381238
23,"low",TRUE,0.005,0.24,0.1,NA,NA,0,0,0.0910658682634731,0.908934131736527
14,"low",TRUE,0,0.72,0.1,0.1,0.1,0.780054291417166,0.795499953283857,0.189905788423154,0.0300399201596806
4,"low",TRUE,0,0.32,0.1,0.1,0.1,0.317395608782435,0.487896325957205,0.384002395209581,0.298601996007984
16,"low",TRUE,0,0.8,0.1,0.1,0.1,0.811710179640719,0.822391095419644,0.163702994011976,0.0245868263473054
18,"low",TRUE,0,0.88,0.1,0.1,0.1,0.836994011976048,0.844008548946803,0.142851896207585,0.0201540918163673
17,"low",TRUE,0,0.84,0.1,0.1,0.1,0.823376447105788,0.832624776469782,0.153777245508982,0.0228463073852295
19,"low",TRUE,0,0.92,0.1,0.1,0.1,0.843417165668663,0.850717308643836,0.137498602794411,0.0190842315369261
21,"low",TRUE,0,1,0.1,0.1,0.1,0.859408383233533,0.864919368750275,0.123132135728543,0.0174594810379242
13,"low",TRUE,0,0.68,0.1,0.1,0.1,0.762715369261477,0.779554784066154,0.202974051896208,0.0343105788423154
12,"low",TRUE,0,0.64,0.1,0.1,0.1,0.746802395209581,0.766430740805947,0.215468263473054,0.0377293413173653
20,"low",TRUE,0,0.96,0.1,0.1,0.1,0.852793612774451,0.858701322599913,0.129105788423154,0.0181005988023952
15,"low",TRUE,0,0.76,0.1,0.1,0.1,0.796258682634731,0.80880385210245,0.176237125748503,0.0275041916167665
10,"low",TRUE,0,0.56,0.1,0.1,0.1,0.697782834331337,0.725832025686869,0.253106586826347,0.0491105788423154
11,"low",TRUE,0,0.6,0.1,0.1,0.1,0.722562075848303,0.747632658193815,0.232642714570858,0.0447952095808383
9,"low",TRUE,0,0.52,0.1,0.1,0.1,0.663825948103792,0.698586542106086,0.278072654690619,0.0581013972055888
5,"low",TRUE,0,0.36,0.1,0.1,0.1,0.422449500998004,0.5341769678944,0.392617165668663,0.184933333333333
8,"low",TRUE,0,0.48,0.1,0.1,0.1,0.62571497005988,0.670810491413844,0.302906187624751,0.0713788423153693
6,"low",TRUE,0,0.4,0.1,0.1,0.1,0.507779640718563,0.584629577520793,0.368386427145709,0.123833932135729
24,"low",TRUE,0.005,0.28,0.1,NA,NA,0,0,0.0901389221556886,0.909861077844311
