"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
2,"low",TRUE,TRUE,0,0.2,0.1,NA,NA,0,0,0.0897556886227545,0.910244311377245
4,"low",TRUE,TRUE,0,0.2,0.1,NA,NA,0,0,0.0907321357285429,0.909267864271457
5,"low",TRUE,TRUE,0,0.2,0.1,NA,NA,0,0,0.0913345309381238,0.908665469061876
1,"low",TRUE,TRUE,0,0.2,0.1,NA,NA,0,0,0.0931568862275449,0.906843113772455
7,"low",TRUE,TRUE,0,0.24,0.1,NA,NA,0,0,0.0916437125748503,0.90835628742515
9,"low",TRUE,TRUE,0,0.24,0.1,NA,NA,0,0,0.0906560878243513,0.909343912175649
3,"low",TRUE,TRUE,0,0.2,0.1,NA,NA,0,0,0.0898217564870259,0.910178243512974
10,"low",TRUE,TRUE,0,0.24,0.1,NA,NA,0,0,0.0911780439121757,0.908821956087824
8,"low",TRUE,TRUE,0,0.24,0.1,NA,NA,0,0,0.0924622754491018,0.907537724550898
15,"low",TRUE,TRUE,0,0.28,0.1,NA,NA,0.153992415169661,0.424042370770339,0.283054890219561,0.562952694610778
6,"low",TRUE,TRUE,0,0.24,0.1,NA,NA,0,0,0.0916027944111776,0.908397205588822
12,"low",TRUE,TRUE,0,0.28,0.1,0.1,0.1,0.151835928143713,0.416415403851274,0.285010379241517,0.56315369261477
14,"low",TRUE,TRUE,0,0.28,0.1,0.1,0.1,0.157088023952096,0.422083000130748,0.284081636726547,0.558830339321357
11,"low",TRUE,TRUE,0,0.28,0.1,0.1,0.1,0.15999121756487,0.424238265050914,0.288856087824351,0.551152694610778
13,"low",TRUE,TRUE,0,0.28,0.1,NA,NA,0.153804391217565,0.424300443835114,0.28215249500998,0.564043113772455
19,"low",TRUE,TRUE,0,0.32,0.1,0.1,0.1,0.320348902195609,0.482311282908689,0.385409580838323,0.294241516966068
20,"low",TRUE,TRUE,0,0.32,0.1,0.1,0.1,0.323491816367265,0.486117805282064,0.38557125748503,0.290936926147705
16,"low",TRUE,TRUE,0,0.32,0.1,0.1,0.1,0.311012574850299,0.480992040581406,0.382011377245509,0.306976047904192
17,"low",TRUE,TRUE,0,0.32,0.1,0.1,0.1,0.323925948103792,0.485214037210707,0.388625548902196,0.287448502994012
18,"low",TRUE,TRUE,0,0.32,0.1,NA,NA,0.333978842315369,0.488494462068736,0.389793213572854,0.276227944111776
23,"low",TRUE,TRUE,0,0.36,0.1,0.1,0.1,0.430120958083832,0.5405239944846,0.389886826347305,0.179992215568862
22,"low",TRUE,TRUE,0,0.36,0.1,0.1,0.1,0.435487025948104,0.54225620920929,0.391993413173653,0.172519560878244
21,"low",TRUE,TRUE,0,0.36,0.1,0.1,0.1,0.434307784431138,0.542275073877598,0.388358682634731,0.177333532934132
25,"low",TRUE,TRUE,0,0.36,0.1,0.1,0.1,0.426978043912176,0.538460320696142,0.389211177644711,0.183810778443114
24,"low",TRUE,TRUE,0,0.36,0.1,0.1,0.1,0.436990219560878,0.543975317460791,0.389394011976048,0.173615768463074
43,"low",TRUE,TRUE,0,0.52,0.1,0.1,0.1,0.662861077844311,0.698704298522509,0.278022954091816,0.0591159680638723
42,"low",TRUE,TRUE,0,0.52,0.1,0.1,0.1,0.665405389221557,0.700401698357021,0.276626546906188,0.0579680638722555
41,"low",TRUE,TRUE,0,0.52,0.1,0.1,0.1,0.662820758483034,0.699216961391146,0.277884630738523,0.0592946107784431
46,"low",TRUE,TRUE,0,0.56,0.1,0.1,0.1,0.696517165668663,0.725869655678375,0.253643912175649,0.0498389221556886
47,"low",TRUE,TRUE,0,0.56,0.1,0.1,0.1,0.698169660678643,0.72637541772647,0.252296606786427,0.0495337325349301
