"ID","starting","grazing","environmt","mort_int","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
84,"high",0.9,0.4,0,0,NA,1,1,1,1,0,0
94,"high",0,0.5,0.1,0.1,0.1,0.642604995004995,0.639061738261738,0.683393347231974,0.680223439135407,0.292935464535465,0.0644595404595405
90,"high",0.9,1,0,0,NA,1,1,1,1,0,0
85,"high",0.9,0.5,0,0,NA,1,1,1,1,0,0
95,"high",0,0.6,0.1,0.1,0.1,0.722751248751249,0.717982817182817,0.747238662902514,0.743271181518196,0.233188811188811,0.0440599400599401
87,"high",0.9,0.7,0,0,NA,1,1,1,1,0,0
96,"high",0,0.7,0.1,0.1,0.1,0.77488991008991,0.773857742257742,0.790606113401535,0.788744960941055,0.193613186813187,0.0314969030969031
91,"high",0,0.2,0.1,NA,NA,0,0,0,0,0.0897742257742258,0.910225774225774
92,"high",0,0.3,0.1,0.1,0.1,0.258561838161838,0.254034765234765,0.457995279554257,0.461903562314182,0.355944855144855,0.385493306693307
97,"high",0,0.8,0.1,0.1,0.1,0.809382217782218,0.808394005994006,0.820645141639527,0.81914164455155,0.165521278721279,0.0250965034965035
98,"high",0,0.9,0.1,0.1,0.1,0.837036163836164,0.838747252747253,0.845139623415909,0.846058436170296,0.142099100899101,0.0208647352647353
100,"high",0.1,0.2,0.1,NA,NA,0,0,0,0,0.090015984015984,0.909984015984016
102,"high",0.1,0.4,0.1,0.124954933486264,0.135531511261313,0.310909490509491,0.510854745254745,0.498487707119966,0.591557168598418,0.382903896103896,0.306186613386613
101,"high",0.1,0.3,0.1,NA,NA,0,0.269058141858142,0,0.459499412647265,0.0950293706293706,0.904970629370629
99,"high",0,1,0.1,0.1,0.1,0.859895704295704,0.858388811188811,0.866236966593967,0.863770555359623,0.123020579420579,0.0170837162837163
109,"high",0.2,0.2,0.1,NA,NA,0,0,0,0,0.0871724275724276,0.912827572427572
112,"high",0.2,0.5,0.1,0.143243390161753,0.168014672487208,0.395996803196803,0.643666333666334,0.562976337313796,0.685974916823303,0.378163036963037,0.22584015984016
105,"high",0.1,0.7,0.1,0.111355218158236,0.128920207863461,0.745595204795205,0.774977022977023,0.772060640994175,0.7898871003459,0.216063136863137,0.0383416583416583
104,"high",0.1,0.6,0.1,0.114409188810284,0.130313692274458,0.663943656343656,0.721491308691309,0.710509796227964,0.74728610382359,0.273035364635365,0.063020979020979
107,"high",0.1,0.9,0.1,0.108459788565936,0.127813722572965,0.817101698301698,0.839878121878122,0.830916564105723,0.847760441846843,0.158691308691309,0.024206993006993
115,"high",0.2,0.8,0.1,0.12118495845105,0.157211770570821,0.75780979020979,0.811859340659341,0.786258394150334,0.822934035685348,0.20568031968032,0.0365098901098901
108,"high",0.1,1,0.1,0.107365555348505,0.127447774077463,0.8435000999001,0.858568631368631,0.853653556651737,0.864285371569818,0.136811988011988,0.0196879120879121
103,"high",0.1,0.5,0.1,0.118076220222268,0.131983867780148,0.556529470529471,0.631621178821179,0.63451163281166,0.676492636590283,0.340502697302697,0.102967832167832
111,"high",0.2,0.4,0.1,NA,NA,0,0.507858541458541,0,0.589683076073059,0.0905166833166833,0.909483316683317
116,"high",0.2,0.9,0.1,0.118071313459313,0.156058336719277,0.796295304695305,0.836881518481518,0.816388537984479,0.845175788903947,0.175604795204795,0.0280999000999001
106,"high",0.1,0.8,0.1,0.109525914186449,0.128165017498039,0.788537062937063,0.808641358641359,0.806978294222939,0.819098248210683,0.182576223776224,0.0288867132867133
114,"high",0.2,0.7,0.1,0.125828078653848,0.159260399436312,0.695057742257742,0.777972427572428,0.740006968923977,0.792388429924841,0.252190609390609,0.0527516483516484
120,"high",0.3,0.4,0.1,NA,NA,0,0.515966433566434,0,0.593758510486426,0.0900963036963037,0.909903696303696
117,"high",0.2,1,0.1,0.115501873775333,0.155096838587762,0.830254145854146,0.856176223776224,0.844926073214071,0.862481703595476,0.14714005994006,0.0226057942057942
110,"high",0.2,0.3,0.1,NA,NA,0,0.26614025974026,0,0.450475332914089,0.0911424575424575,0.908857542457542
113,"high",0.2,0.6,0.1,0.132588593806637,0.16219590386221,0.595934065934066,0.731093306693307,0.67021175954742,0.75249113829494,0.31855984015984,0.0855060939060939
118,"high",0.3,0.2,0.1,NA,NA,0,0,0,0,0.0885734265734266,0.911426573426573
119,"high",0.3,0.3,0.1,NA,NA,0,0.245931668331668,0,0.456244237244819,0.094027972027972,0.905972027972028
121,"high",0.3,0.5,0.1,NA,NA,0,0.640521078921079,0,0.681998691339759,0.0885414585414585,0.911458541458541
122,"high",0.3,0.6,0.1,0.157301025584161,0.198103315551363,0.481838161838162,0.7174001998002,0.611509266547182,0.743382276538066,0.362467532467532,0.155694305694306
125,"high",0.3,0.9,0.1,0.129429312389568,0.185387601947489,0.767998401598402,0.837709090909091,0.799538282751933,0.84621500949192,0.196086313686314,0.0359152847152847
126,"high",0.3,1,0.1,0.125111011571612,0.183508314423124,0.809283516483516,0.856120679320679,0.829957656350064,0.862775285349513,0.164146653346653,0.0265698301698302
127,"high",0.4,0.2,0.1,NA,NA,0,0,0,0,0.0894337662337662,0.910566233766234
123,"high",0.3,0.7,0.1,0.143801618609259,0.19131419287214,0.633874925074925,0.769386613386613,0.703560865076523,0.788070029499664,0.290498301698302,0.0756267732267732
131,"high",0.4,0.6,0.1,0.211845066040002,0.249472379075877,0.020210989010989,0.71937022977023,0.437287783393231,0.743143383048922,0.125339060939061,0.85444995004995
124,"high",0.3,0.8,0.1,0.135017746965474,0.187598818249212,0.720645354645355,0.805660739260739,0.762729486833361,0.81740359360809,0.231877722277722,0.0474769230769231
133,"high",0.4,0.8,0.1,0.153115858626134,0.219875236382147,0.664813586413586,0.808181018981019,0.728789310607515,0.819917969402645,0.270527072927073,0.0646593406593407
128,"high",0.4,0.3,0.1,NA,NA,0,0.232431968031968,0,0.445624019510321,0.0921986013986014,0.907801398601399
129,"high",0.4,0.4,0.1,NA,NA,0,0.504908291708292,0,0.588664098818119,0.09083996003996,0.90916003996004
138,"high",0.5,0.4,0.1,NA,NA,0,0.522617782217782,0,0.597321131612669,0.0876175824175824,0.912382417582418
130,"high",0.4,0.5,0.1,NA,NA,0,0.646401598401598,0,0.687747935843811,0.0934333666333666,0.906566633366633
134,"high",0.4,0.9,0.1,0.143495422753994,0.215484931149324,0.738706893106893,0.83744975024975,0.779016127371849,0.845805350782676,0.218928671328671,0.0423644355644356
139,"high",0.5,0.5,0.1,NA,NA,0,0.645826173826174,0,0.683998396236305,0.0877446553446554,0.912255344655345
132,"high",0.4,0.7,0.1,0.167092160529745,0.226432835912689,0.549808191808192,0.773964035964036,0.656666201460797,0.790007867030903,0.335846553446553,0.114345254745255
137,"high",0.5,0.3,0.1,NA,NA,0,0.258274125874126,0,0.449930731295112,0.0913134865134865,0.908686513486514
