"ID","starting","grazing","environmt","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
1,"high",0,0.2,NA,NA,0,0,0,0,0.0916855144855145,0.908314485514486
3,"high",0,0.23265306122449,NA,NA,0,0,0,0,0.0939348651348651,0.906065134865135
4,"high",0,0.248979591836735,NA,0.1,0.00187532467532468,0.00556803196803197,0.113495147176123,0.326951280682573,0.100076723276723,0.898047952047952
5,"high",0,0.26530612244898,0.1,0.1,0.0297086913086913,0.0702193806193806,0.413756460584381,0.38676958512391,0.131157642357642,0.839133666333666
18,"high",0,0.477551020408163,0.1,0.1,0.618596603396603,0.61572987012987,0.663516466199818,0.663219966241592,0.305687112887113,0.0757162837162837
13,"high",0,0.395918367346939,0.1,0.1,0.496648951048951,0.506308491508492,0.579514269700449,0.586944255807425,0.370224175824176,0.133126873126873
16,"high",0,0.444897959183673,0.1,0.1,0.566648951048951,0.577912087912088,0.627018752713491,0.638262921687621,0.339245954045954,0.0941050949050949
23,"high",0,0.559183673469388,0.1,0.1,0.693113286713287,0.690267332667333,0.723792515172715,0.720259435623232,0.256628571428571,0.0502581418581419
19,"high",0,0.493877551020408,0.1,0.1,0.640421978021978,0.63127032967033,0.684180338267952,0.676204608501474,0.291623576423576,0.0679544455544456
2,"high",0,0.216326530612245,NA,NA,0,0,0,0,0.0894237762237762,0.910576223776224
9,"high",0,0.330612244897959,0.1,0.1,0.357650749250749,0.360858741258741,0.494490104818514,0.504158567818086,0.397245154845155,0.245104095904096
22,"high",0,0.542857142857143,0.1,0.1,0.683825774225774,0.677215584415584,0.715465777000958,0.709967256509936,0.262937062937063,0.0532371628371628
17,"high",0,0.461224489795918,0.1,0.1,0.60052947052947,0.603848551448551,0.653547823574837,0.655151046800786,0.318614185814186,0.0808563436563437
7,"high",0,0.297959183673469,0.1,0.1,0.270453546453546,0.240928671328671,0.455299731685414,0.451443730275446,0.372091508491509,0.357454945054945
8,"high",0,0.314285714285714,0.1,0.1,0.297282717282717,0.284976223776224,0.470609857670978,0.465981569628292,0.384047152847153,0.31867012987013
12,"high",0,0.379591836734694,0.1,0.1,0.486055144855145,0.481336663336663,0.572800393444502,0.573007257426136,0.377355044955045,0.13658981018981
15,"high",0,0.428571428571429,0.1,0.1,0.558752047952048,0.559051748251748,0.62154108195074,0.625655972935577,0.342868731268731,0.0983792207792208
6,"high",0,0.281632653061225,0.1,0.1,0.155455744255744,0.167272327672328,0.420209813263467,0.411382772375776,0.286850749250749,0.557693506493506
10,"high",0,0.346938775510204,0.1,0.1,0.393413386613387,0.398722077922078,0.520133665473032,0.523844687006277,0.39312047952048,0.213466133866134
20,"high",0,0.510204081632653,0.1,0.1,0.654654545454545,0.649568831168831,0.69206580996439,0.688947494356088,0.283948451548452,0.061397002997003
11,"high",0,0.363265306122449,0.1,0.1,0.440579420579421,0.452337262737263,0.548777774982732,0.554062594069476,0.387101698301698,0.172318881118881
21,"high",0,0.526530612244898,0.1,0.1,0.65845994005994,0.662095904095904,0.697545171711816,0.697978038513422,0.279380619380619,0.0621594405594406
14,"high",0,0.412244897959184,0.1,0.1,0.53593046953047,0.525885714285714,0.606793420467887,0.602996210343662,0.35612987012987,0.10793966033966
24,"high",0,0.575510204081633,0.1,0.1,0.708891508491509,0.709067332667333,0.735950578843059,0.736507096142385,0.244883916083916,0.0462245754245754
25,"high",0,0.591836734693878,0.1,0.1,0.723098501498502,0.719032967032967,0.745413759218674,0.744547296086884,0.235514885114885,0.0413866133866134
27,"high",0,0.624489795918367,0.1,0.1,0.735997602397602,0.731565634365634,0.758754505760884,0.756175833026847,0.223376223776224,0.0406261738261738
30,"high",0,0.673469387755102,0.1,0.1,0.758133866133866,0.762330869130869,0.777009099662882,0.779196819266416,0.206234565434565,0.0356315684315684
32,"high",0,0.706122448979592,0.1,0.1,0.780358041958042,0.777984815184815,0.795397418551645,0.793177645628319,0.188844355644356,0.0307976023976024
33,"high",0,0.722448979591837,0.1,0.1,0.783321478521478,0.783965634365634,0.797171918482637,0.798871424837708,0.187127272727273,0.0295512487512488
34,"high",0,0.738775510204082,0.1,0.1,0.793005394605395,0.789000999000999,0.805019744917983,0.80241352999853,0.17995044955045,0.0270441558441558
37,"high",0,0.787755102040816,0.1,0.1,0.807397802197802,0.805775424575425,0.81875189660919,0.817757135916177,0.166965034965035,0.0256371628371628
29,"high",0,0.657142857142857,0.1,0.1,0.753184415584416,0.760088311688312,0.772260045248102,0.777185615329192,0.211013386613387,0.0358021978021978
38,"high",0,0.804081632653061,0.1,0.1,0.813861338661339,0.812135864135864,0.824605346358565,0.82315569612559,0.161633966033966,0.0245046953046953
36,"high",0,0.771428571428572,0.1,0.1,0.8044,0.798969430569431,0.815640405490252,0.811203049814184,0.170736863136863,0.0248631368631369
26,"high",0,0.608163265306122,0.1,0.1,0.72881998001998,0.725136863136863,0.752259487816817,0.748701968435372,0.22933026973027,0.0418497502497502
39,"high",0,0.820408163265306,0.1,0.1,0.817651148851149,0.817355044955045,0.828388159304598,0.827091147628626,0.158851548451548,0.0234973026973027
31,"high",0,0.689795918367347,0.1,0.1,0.767032967032967,0.76898021978022,0.783896867167346,0.7855631518011,0.199613586413586,0.0333534465534466
28,"high",0,0.640816326530612,0.1,0.1,0.743731068931069,0.748296103896104,0.764530766758481,0.767826169156267,0.217761438561439,0.0385074925074925
40,"high",0,0.836734693877551,0.1,0.1,0.824206993006993,0.818284115884116,0.833398012478399,0.827648466817473,0.153173226773227,0.0226197802197802
42,"high",0,0.869387755102041,0.1,0.1,0.829272327672328,0.82994005994006,0.838311157199464,0.838919494673249,0.14984975024975,0.0208779220779221
35,"high",0,0.755102040816326,0.1,0.1,0.795418181818182,0.796756443556444,0.808328695917852,0.808746188964463,0.177033366633367,0.0275484515484515
43,"high",0,0.885714285714286,0.1,0.1,0.834673726273726,0.833401798201798,0.842953159483805,0.841734649956795,0.144743656343656,0.0205826173826174
44,"high",0,0.902040816326531,0.1,0.1,0.839241958041958,0.837036963036963,0.846775021995483,0.845178577624226,0.140725274725275,0.0200327672327672
45,"high",0,0.918367346938776,0.1,0.1,0.838953846153846,0.843375824175824,0.847002353218394,0.85030632574036,0.140638561438561,0.0204075924075924
41,"high",0,0.853061224489796,0.1,0.1,0.827551248751249,0.823293106893107,0.835180521771957,0.832658372507871,0.150802397602398,0.0216463536463536
46,"high",0,0.934693877551021,0.1,0.1,0.844600599400599,0.845336263736264,0.851982807167907,0.852726874775777,0.135967632367632,0.0194317682317682
47,"high",0,0.951020408163265,0.1,0.1,0.849599200799201,0.849672727272727,0.856424627241217,0.856131599004831,0.131789410589411,0.0186113886113886
49,"high",0,0.983673469387755,0.1,0.1,0.852532267732268,0.851767832167832,0.859131903882094,0.858601340923827,0.129251148851149,0.0182165834165834
48,"high",0,0.96734693877551,0.1,0.1,0.848781218781219,0.849613186813187,0.856024468824286,0.855906615912288,0.131736263736264,0.0194825174825175
53,"high",0.0036144578313253,0.23265306122449,NA,NA,0,0,0,0,0.0888163836163836,0.911183616383616
