"ID","starting","grazing","environmt","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
9,"high",0,0.330612244897959,NA,NA,0,0,0,0,0.0934461538461538,0.906553846153846
4,"high",0,0.248979591836735,NA,NA,0,0,0,0,0.0947368631368631,0.905263136863137
11,"high",0,0.363265306122449,NA,NA,0,0.0037042957042957,0,0.293160375997759,0.0911168831168831,0.908883116883117
14,"high",0,0.412244897959184,0.15,0.15,0.170250549450549,0.195791408591409,0.418861307491566,0.438061283110854,0.318176223776224,0.511573226773227
7,"high",0,0.297959183673469,NA,NA,0,0,0,0,0.0918897102897103,0.90811028971029
1,"high",0,0.2,NA,NA,0,0,0,0,0.0916855144855145,0.908314485514486
12,"high",0,0.379591836734694,NA,NA,0,0.00154765234765235,0,0.139930909361479,0.0890245754245754,0.910975424575425
5,"high",0,0.26530612244898,NA,NA,0,0,0,0,0.0907096903096903,0.90929030969031
13,"high",0,0.395918367346939,NA,NA,0,0.0279904095904096,0,0.39591054242158,0.0890497502497502,0.91095024975025
21,"high",0,0.526530612244898,0.15,0.15,0.480672927072927,0.474180619380619,0.57431899656484,0.566766780339723,0.378098301698302,0.141228771228771
19,"high",0,0.493877551020408,0.15,0.15,0.415327472527473,0.431332267732268,0.533746720758793,0.536555644700484,0.393641958041958,0.191030569430569
15,"high",0,0.428571428571429,0.15,0.15,0.247580819180819,0.248698101898102,0.451470973368815,0.457013330027421,0.374252547452547,0.378166633366633
18,"high",0,0.477551020408163,0.15,0.15,0.383723876123876,0.40196003996004,0.516555902569903,0.521774016198819,0.397092907092907,0.219183216783217
3,"high",0,0.23265306122449,NA,NA,0,0,0,0,0.0939348651348651,0.906065134865135
17,"high",0,0.461224489795918,0.15,0.15,0.347475724275724,0.338416383616384,0.494695469827048,0.489735343781202,0.398752447552448,0.253771828171828
23,"high",0,0.559183673469388,0.15,0.15,0.533477722277722,0.518593806193806,0.60168334632897,0.59902222877113,0.359101698301698,0.107420579420579
20,"high",0,0.510204081632653,0.15,0.15,0.452021578421578,0.46418981018981,0.553823916318326,0.560295016433418,0.389005394605395,0.158973026973027
2,"high",0,0.216326530612245,NA,NA,0,0,0,0,0.0894237762237762,0.910576223776224
6,"high",0,0.281632653061225,NA,NA,0,0,0,0,0.0871372627372627,0.912862737262737
22,"high",0,0.542857142857143,0.15,0.15,0.501544855144855,0.506984215784216,0.585250955076103,0.58388383890496,0.374583816183816,0.123871328671329
16,"high",0,0.444897959183673,0.15,0.15,0.314531868131868,0.290794405594406,0.474777082669538,0.477409259581996,0.399517682317682,0.28595044955045
10,"high",0,0.346938775510204,NA,NA,0,0,0,0,0.0914285714285714,0.908571428571429
8,"high",0,0.314285714285714,NA,NA,0,0,0,0,0.0920919080919081,0.907908091908092
24,"high",0,0.575510204081633,0.15,0.15,0.550309290709291,0.546373626373626,0.61740539596816,0.613255333750611,0.349546853146853,0.100143856143856
26,"high",0,0.608163265306122,0.15,0.15,0.585211988011988,0.57911968031968,0.640445300320468,0.638049041750679,0.329325474525475,0.0854625374625375
25,"high",0,0.591836734693878,0.15,0.15,0.565392207792208,0.561267132867133,0.627699610078655,0.626276696672462,0.339277522477522,0.0953302697302697
29,"high",0,0.657142857142857,0.15,0.15,0.6276999000999,0.627733466533467,0.671485972054618,0.67052364087015,0.30505014985015,0.06724995004995
