"ID","mortality","environmt","rho_plus","rho_plus_ungrazed","rho_minus","q_plus"
1,0.1,0.2,0,0,0.0913972055888224,NA
5,0.1,0.21608040201005,0,0,0.092987624750499,NA
7,0.1,0.224120603015075,0,0,0.0887760479041916,NA
3,0.1,0.208040201005025,0,0,0.0912926147704591,NA
10,0.1,0.236180904522613,0,0,0.0932167664670659,NA
11,0.1,0.240201005025126,0,0,0.0893117764471058,NA
9,0.1,0.232160804020101,0,0,0.0934666666666667,NA
8,0.1,0.228140703517588,0,0,0.0946139720558882,NA
2,0.1,0.204020100502513,0,0,0.0935121756487026,NA
6,0.1,0.220100502512563,0,0,0.0886538922155689,NA
4,0.1,0.212060301507538,0,0,0.0903600798403194,NA
9,0.1,0.232160804020101,0.0126259481037924,0,0.108584431137725,0.396182315633996
2,0.1,0.204020100502513,0,0,0.0935121756487026,NA
5,0.1,0.21608040201005,0,0,0.092987624750499,NA
10,0.1,0.236180904522613,0.00323672654690619,0,0.101635129740519,0.510242808034724
1,0.1,0.2,0,0,0.0913972055888224,NA
7,0.1,0.224120603015075,0,0,0.0887760479041916,NA
3,0.1,0.208040201005025,0,0,0.0912926147704591,NA
11,0.1,0.240201005025126,0.00235289421157685,0,0.094548502994012,0.474597432119887
6,0.1,0.220100502512563,0,0,0.0886538922155689,NA
8,0.1,0.228140703517588,0,0,0.0946139720558882,NA
4,0.1,0.212060301507538,0,0,0.0903600798403194,NA
22,0.1,0.284422110552764,0,0,0.0962794411177645,NA
13,0.1,0.248241206030151,0.00291656686626747,0,0.0956263473053892,0.500787852921086
12,0.1,0.244221105527638,0,0,0.0883161676646707,NA
20,0.1,0.276381909547739,0.0900167664670659,0,0.218368862275449,0.42020460268474
14,0.1,0.252261306532663,0.00516806387225549,0,0.0991840319361278,0.427405948567032
15,0.1,0.256281407035176,0.00317365269461078,0,0.107989620758483,0.558119930911847
17,0.1,0.264321608040201,0.0150634730538922,0,0.118630738522954,0.415250636722516
16,0.1,0.260301507537688,0.0340039920159681,0,0.152843113772455,0.449973534639993
19,0.1,0.272361809045226,0.101354890219561,0,0.221481836327345,0.408356618613917
18,0.1,0.268341708542714,0.00641996007984032,0,0.093610379241517,0.395738163316179
21,0.1,0.280402010050251,0.156914171656687,0,0.291373253493014,0.418583525669791
14,0.1,0.252261306532663,0.00487425149700599,0,0.0976766467065868,0.426901756036308
12,0.1,0.244221105527638,0.0142738522954092,0,0.112763273453094,0.434783369355465
22,0.1,0.284422110552764,0.184392814371257,0,0.305702994011976,0.413415729297552
13,0.1,0.248241206030151,0.00733253493013972,0,0.10132375249501,0.451350002393117
18,0.1,0.268341708542714,0.0763808383233533,0,0.194089421157685,0.403928670855447
15,0.1,0.256281407035176,0.0585397205588822,0,0.178136526946108,0.413391163567738
23,0.1,0.288442211055276,0.184876646706587,0,0.300084630738523,0.412398693410598
24,0.1,0.292462311557789,0.212249900199601,0,0.325311776447106,0.403680185380293
25,0.1,0.296482412060302,0.229726946107784,0,0.342266666666667,0.401432293741309
26,0.1,0.300502512562814,0.246550099800399,0,0.350471057884232,0.399225929497694
27,0.1,0.304522613065327,0.251829141716567,0,0.3584,0.405150899659997
29,0.1,0.312562814070352,0.282853493013972,0,0.368591616766467,0.388992765573767
31,0.1,0.320603015075377,0.313212774451098,0,0.378384031936128,0.383561356807358
30,0.1,0.316582914572864,0.293408383233533,0,0.382891816367265,0.402647160203549
28,0.1,0.308542713567839,0.267750898203593,0,0.367900998003992,0.402720355773592
33,0.1,0.328643216080402,0.349062674650699,0,0.389200798403194,0.386154651007338
32,0.1,0.324623115577889,0.344268263473054,0,0.389532135728543,0.382721413906619
34,0.1,0.332663316582915,0.346418363273453,0,0.396901397205589,0.388716757420436
35,0.1,0.336683417085427,0.369853093812375,0,0.391603992015968,0.381012903814191
37,0.1,0.344723618090452,0.402120558882236,0,0.400964471057884,0.376170065721078
36,0.1,0.34070351758794,0.38242874251497,0,0.395310978043912,0.377084761728324
38,0.1,0.348743718592965,0.402039121756487,0,0.39381876247505,0.371021778261218
41,0.1,0.360804020100503,0.41980998003992,0,0.395346107784431,0.367289800979856
43,0.1,0.368844221105528,0.447537724550898,0,0.381182435129741,0.354204616985975
40,0.1,0.35678391959799,0.426906187624751,0,0.391347704590818,0.361485013087453
39,0.1,0.352763819095477,0.416811976047904,0,0.389310179640719,0.367103919773361
44,0.1,0.37286432160804,0.454061477045908,0,0.38351377245509,0.353491001984512
42,0.1,0.364824120603015,0.447959281437126,0,0.389041117764471,0.358832219915894
45,0.1,0.376884422110553,0.470225149700599,0,0.378535728542914,0.349624130337043
47,0.1,0.384924623115578,0.480370459081836,0,0.375816367265469,0.343411867994258
46,0.1,0.380904522613065,0.473164870259481,0,0.369972055888224,0.340460098857769
48,0.1,0.388944723618091,0.493544910179641,0,0.369282235528942,0.339630062334228
49,0.1,0.392964824120603,0.504521357285429,0,0.368872654690619,0.338008826072782
51,0.1,0.401005025125628,0.503674251497006,0,0.363864271457086,0.334006623074737
54,0.1,0.413065326633166,0.524288223552894,0,0.353139321357285,0.323085409123603
53,0.1,0.409045226130653,0.532983632734531,0,0.357107385229541,0.325725583825991
50,0.1,0.396984924623116,0.507222355289421,0,0.369580838323353,0.337408334248134
52,0.1,0.405025125628141,0.504082235528942,0,0.366557285429142,0.334051931548012
55,0.1,0.417085427135678,0.544732135728543,0,0.352130938123753,0.321904914878174
59,0.1,0.433165829145729,0.566673852295409,0,0.336202794411178,0.309049057754552
57,0.1,0.425125628140704,0.5491249500998,0,0.345691017964072,0.311809900556512
