"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
57,"low",TRUE,0.45,0.45,0.1,NA,NA,0,0,0.0873326673326673,0.912667332667333
58,"low",TRUE,0.45,0.5,0.1,NA,NA,0,0,0.102197802197802,0.897802197802198
59,"low",TRUE,0.45,0.55,0.1,NA,NA,0,0,0.0767632367632368,0.923236763236763
60,"low",TRUE,0.45,0.6,0.1,NA,NA,0,0,0.0833266733266733,0.916673326673327
62,"low",TRUE,0.45,0.7,0.1,NA,NA,0,0,0.0866133866133866,0.913386613386613
61,"low",TRUE,0.45,0.65,0.1,NA,NA,0,0,0.090999000999001,0.909000999000999
63,"low",TRUE,0.45,0.75,0.1,NA,NA,0,0,0.0847152847152847,0.915284715284715
65,"low",TRUE,0.45,0.85,0.1,NA,NA,0,0,0.0941358641358641,0.905864135864136
64,"low",TRUE,0.45,0.8,0.1,NA,NA,0,0,0.0863236763236763,0.913676323676324
66,"low",TRUE,0.45,0.9,0.1,NA,NA,0,0,0.0898001998001998,0.9101998001998
67,"low",TRUE,0.45,0.95,0.1,NA,NA,0,0,0.101088911088911,0.898911088911089
68,"low",TRUE,0.45,1,0.1,NA,NA,0,0,0.0952447552447552,0.904755244755245
69,"low",TRUE,0.6,0.2,0.1,NA,NA,0,0,0.0783016983016983,0.921698301698302
73,"low",TRUE,0.6,0.4,0.1,NA,NA,0,0,0.0865834165834166,0.913416583416583
70,"low",TRUE,0.6,0.25,0.1,NA,NA,0,0,0.0775324675324675,0.922467532467532
72,"low",TRUE,0.6,0.35,0.1,NA,NA,0,0,0.0727772227772228,0.927222777222777
71,"low",TRUE,0.6,0.3,0.1,NA,NA,0,0,0.103396603396603,0.896603396603397
74,"low",TRUE,0.6,0.45,0.1,NA,NA,0,0,0.0782017982017982,0.921798201798202
75,"low",TRUE,0.6,0.5,0.1,NA,NA,0,0,0.120499500499501,0.879500499500499
77,"low",TRUE,0.6,0.6,0.1,NA,NA,0,0,0.0994705294705295,0.900529470529471
76,"low",TRUE,0.6,0.55,0.1,NA,NA,0,0,0.0998301698301698,0.90016983016983
78,"low",TRUE,0.6,0.65,0.1,NA,NA,0,0,0.0985014985014985,0.901498501498502
79,"low",TRUE,0.6,0.7,0.1,NA,NA,0,0,0.0839260739260739,0.916073926073926
80,"low",TRUE,0.6,0.75,0.1,NA,NA,0,0,0.11025974025974,0.88974025974026
81,"low",TRUE,0.6,0.8,0.1,NA,NA,0,0,0.0923076923076923,0.907692307692308
82,"low",TRUE,0.6,0.85,0.1,NA,NA,0,0,0.0941758241758242,0.905824175824176
83,"low",TRUE,0.6,0.9,0.1,NA,NA,0,0,0.102497502497503,0.897502497502498
85,"low",TRUE,0.6,1,0.1,NA,NA,0,0,0.091978021978022,0.908021978021978
86,"low",TRUE,0.75,0.2,0.1,NA,NA,0,0,0.0772627372627373,0.922737262737263
84,"low",TRUE,0.6,0.95,0.1,NA,NA,0,0,0.0932367632367632,0.906763236763237
87,"low",TRUE,0.75,0.25,0.1,NA,NA,0,0,0.0992507492507493,0.900749250749251
88,"low",TRUE,0.75,0.3,0.1,NA,NA,0,0,0.0888011988011988,0.911198801198801
89,"low",TRUE,0.75,0.35,0.1,NA,NA,0,0,0.10955044955045,0.89044955044955
90,"low",TRUE,0.75,0.4,0.1,NA,NA,0,0,0.107052947052947,0.892947052947053
91,"low",TRUE,0.75,0.45,0.1,NA,NA,0,0,0.099010989010989,0.900989010989011
92,"low",TRUE,0.75,0.5,0.1,NA,NA,0,0,0.0895604395604396,0.91043956043956
96,"low",TRUE,0.75,0.7,0.1,NA,NA,0,0,0.0826573426573427,0.917342657342657
94,"low",TRUE,0.75,0.6,0.1,NA,NA,0,0,0.10013986013986,0.89986013986014
93,"low",TRUE,0.75,0.55,0.1,NA,NA,0,0,0.0837762237762238,0.916223776223776
95,"low",TRUE,0.75,0.65,0.1,NA,NA,0,0,0.0675924075924076,0.932407592407592
97,"low",TRUE,0.75,0.75,0.1,NA,NA,0,0,0.0681018981018981,0.931898101898102
99,"low",TRUE,0.75,0.85,0.1,NA,NA,0,0,0.0799400599400599,0.92005994005994
98,"low",TRUE,0.75,0.8,0.1,NA,NA,0,0,0.0943156843156843,0.905684315684316
100,"low",TRUE,0.75,0.9,0.1,NA,NA,0,0,0.098021978021978,0.901978021978022
101,"low",TRUE,0.75,0.95,0.1,NA,NA,0,0,0.0991308691308691,0.900869130869131
102,"low",TRUE,0.75,1,0.1,NA,NA,0,0,0.0683316683316683,0.931668331668332
103,"low",TRUE,0.9,0.2,0.1,NA,NA,0,0,0.107202797202797,0.892797202797203
104,"low",TRUE,0.9,0.25,0.1,NA,NA,0,0,0.096973026973027,0.903026973026973
107,"low",TRUE,0.9,0.4,0.1,NA,NA,0,0,0.0963336663336663,0.903666333666334
106,"low",TRUE,0.9,0.35,0.1,NA,NA,0,0,0.0692007992007992,0.930799200799201
105,"low",TRUE,0.9,0.3,0.1,NA,NA,0,0,0.0986613386613387,0.901338661338661
108,"low",TRUE,0.9,0.45,0.1,NA,NA,0,0,0.0871028971028971,0.912897102897103
110,"low",TRUE,0.9,0.55,0.1,NA,NA,0,0,0.113146853146853,0.886853146853147
109,"low",TRUE,0.9,0.5,0.1,NA,NA,0,0,0.0886913086913087,0.911308691308691
111,"low",TRUE,0.9,0.6,0.1,NA,NA,0,0,0.0753046953046953,0.924695304695305
112,"low",TRUE,0.9,0.65,0.1,NA,NA,0,0,0.0770829170829171,0.922917082917083
113,"low",TRUE,0.9,0.7,0.1,NA,NA,0,0,0.0931168831168831,0.906883116883117
114,"low",TRUE,0.9,0.75,0.1,NA,NA,0,0,0.089000999000999,0.910999000999001
116,"low",TRUE,0.9,0.85,0.1,NA,NA,0,0,0.0870629370629371,0.912937062937063
115,"low",TRUE,0.9,0.8,0.1,NA,NA,0,0,0.0987112887112887,0.901288711288711
117,"low",TRUE,0.9,0.9,0.1,NA,NA,0,0,0.0773126873126873,0.922687312687313
118,"low",TRUE,0.9,0.95,0.1,NA,NA,0,0,0.093006993006993,0.906993006993007
119,"low",TRUE,0.9,1,0.1,NA,NA,0,0,0.0848951048951049,0.915104895104895
122,"high",TRUE,0,0.3,0.1,0.1,0.1,0.203466533466533,0.414227536151869,0.340669330669331,0.455864135864136
124,"high",TRUE,0,0.4,0.1,0.1,0.1,0.524485514485515,0.60993810380215,0.352917082917083,0.122597402597403
123,"high",TRUE,0,0.35,0.1,0.1,0.1,0.395224775224775,0.50666052682099,0.383976023976024,0.220799200799201
125,"high",TRUE,0,0.45,0.1,0.1,0.1,0.590939060939061,0.632208411146939,0.326373626373626,0.0826873126873127
126,"high",TRUE,0,0.5,0.1,0.1,0.1,0.682967032967033,0.700942954820106,0.275694305694306,0.0413386613386613
127,"high",TRUE,0,0.55,0.1,0.1,0.1,0.666153846153846,0.701602323285958,0.267542457542458,0.0663036963036963
128,"high",TRUE,0,0.6,0.1,0.1,0.1,0.719040959040959,0.741498048666327,0.228241758241758,0.0527172827172827
130,"high",TRUE,0,0.7,0.1,0.1,0.1,0.743176823176823,0.765038856961356,0.217282717282717,0.0395404595404595
129,"high",TRUE,0,0.65,0.1,0.1,0.1,0.731338661338661,0.755589509009466,0.228331668331668,0.0403296703296703
131,"high",TRUE,0,0.75,0.1,0.1,0.1,0.800949050949051,0.810343964188684,0.175604395604396,0.0234465534465534
132,"high",TRUE,0,0.8,0.1,0.1,0.1,0.817842157842158,0.826970108103483,0.156943056943057,0.0252147852147852
133,"high",TRUE,0,0.85,0.1,0.1,0.1,0.828301698301698,0.831771031767616,0.151078921078921,0.0206193806193806
135,"high",TRUE,0,0.95,0.1,0.1,0.1,0.846273726273726,0.852408928191543,0.135084915084915,0.0186413586413586
