"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
2028,0.3,TRUE,FALSE,0.025,0.55,0.05,0.1,0.1,0.687463273453094,0.2321,0.717606397998823,0.2605750499002,0.0519616766467066
2053,0.3,TRUE,FALSE,0.05,0.35,0.05,NA,NA,0,0.243,0,0.0903934131736527,0.909606586826347
2041,0.3,TRUE,FALSE,0.025,0.875,0.05,0.1,0.1,0.830630738522954,0.2491,0.839284925667492,0.147887025948104,0.0214822355289421
2040,0.3,TRUE,FALSE,0.025,0.85,0.05,0.1,0.1,0.825727145708583,0.2443,0.834539386432827,0.152360479041916,0.021912375249501
2054,0.3,TRUE,FALSE,0.05,0.375,0.05,NA,NA,0,0.2516,0,0.0908377245508982,0.909162275449102
2043,0.3,TRUE,FALSE,0.025,0.925,0.05,0.1,0.1,0.845150099800399,0.2533,0.851807841102282,0.135924550898204,0.0189253493013972
2044,0.3,TRUE,FALSE,0.025,0.95,0.05,0.1,0.1,0.849129540918164,0.2551,0.855585997482929,0.132207584830339,0.018662874251497
2045,0.3,TRUE,FALSE,0.025,0.975,0.05,0.1,0.1,0.852827744510978,0.2396,0.859255679546991,0.129091816367265,0.0180804391217565
2046,0.3,TRUE,FALSE,0.025,1,0.05,0.1,0.1,0.85899001996008,0.2518,0.864673329412296,0.123839920159681,0.0171700598802395
2055,0.3,TRUE,FALSE,0.05,0.4,0.05,NA,NA,0.0602864271457086,0.2735,0.401724155747705,0.178760279441118,0.760953293413174
2056,0.3,TRUE,FALSE,0.05,0.425,0.05,0.15,0.15,0.232105389221557,0.2546,0.443893369251309,0.359209381237525,0.408685229540918
2058,0.3,TRUE,FALSE,0.05,0.475,0.05,0.15,0.15,0.391369061876247,0.2481,0.515482999712384,0.404108183632735,0.204522754491018
2057,0.3,TRUE,FALSE,0.05,0.45,0.05,0.15,0.15,0.323637724550898,0.2427,0.484912856365067,0.395015568862275,0.281346706586826
2025,0.3,TRUE,FALSE,0.025,0.475,0.05,0.1,0.1,0.616903592814371,0.2565,0.663574680589959,0.308348303393214,0.0747481037924152
1984,0.3,TRUE,FALSE,0,0.275,0.05,0.05,0.05,0.564726946107784,0.2604,0.627193293233222,0.333940119760479,0.101332934131737
2059,0.3,TRUE,FALSE,0.05,0.5,0.05,0.15,0.15,0.430813572854291,0.2447,0.539937336501437,0.394416167664671,0.174770259481038
2022,0.3,TRUE,FALSE,0.025,0.4,0.05,0.1,0.1,0.519464471057884,0.2513,0.596450492961935,0.360972654690619,0.119562874251497
2073,0.3,TRUE,FALSE,0.05,0.85,0.05,0.15,0.15,0.735,0.2682,0.755965783521151,0.225283433133733,0.0397165668662675
2072,0.3,TRUE,FALSE,0.05,0.825,0.05,0.15,0.15,0.721444710578842,0.2481,0.745005800257532,0.235674850299401,0.0428804391217565
2070,0.3,TRUE,FALSE,0.05,0.775,0.05,0.15,0.15,0.700997604790419,0.2406,0.727464591196268,0.251513173652695,0.0474892215568862
2066,0.3,TRUE,FALSE,0.05,0.675,0.05,0.15,0.15,0.638347105788423,0.2432,0.678331754417533,0.296822954091816,0.0648299401197605
2069,0.3,TRUE,FALSE,0.05,0.75,0.05,0.15,0.15,0.686883033932136,0.2413,0.716047237958292,0.261934930139721,0.0511820359281437
2071,0.3,TRUE,FALSE,0.05,0.8,0.05,0.15,0.15,0.708299401197605,0.2519,0.734226817090651,0.245593413173653,0.0461071856287425
2080,0.3,TRUE,FALSE,0.075,0.2,0.05,NA,NA,0,0.2596,0,0.0904790419161677,0.909520958083832
2074,0.3,TRUE,FALSE,0.05,0.875,0.05,0.15,0.15,0.742391417165669,0.2533,0.761865333789007,0.219531536926148,0.0380770459081836
2075,0.3,TRUE,FALSE,0.05,0.9,0.05,0.15,0.15,0.752742914171657,0.2156,0.770365499339562,0.211735528942116,0.0355215568862275
2076,0.3,TRUE,FALSE,0.05,0.925,0.05,0.15,0.15,0.76032255489022,0.2515,0.776841331282203,0.205781636726547,0.0338958083832335
2068,0.3,TRUE,FALSE,0.05,0.725,0.05,0.15,0.15,0.669850299401198,0.2479,0.702769417018661,0.274308582834331,0.0558411177644711
2081,0.3,TRUE,FALSE,0.075,0.225,0.05,NA,NA,0,0.263,0,0.0918059880239521,0.908194011976048
2077,0.3,TRUE,FALSE,0.05,0.95,0.05,0.15,0.15,0.771316766467066,0.2479,0.786124251545174,0.197006187624751,0.0316770459081836
2083,0.3,TRUE,FALSE,0.075,0.275,0.05,NA,NA,0,0.2464,0,0.0928510978043912,0.907148902195609
2082,0.3,TRUE,FALSE,0.075,0.25,0.05,NA,NA,0,0.2383,0,0.0906858283433134,0.909314171656687
2084,0.3,TRUE,FALSE,0.075,0.3,0.05,NA,NA,0,0.254,0,0.0927612774451098,0.90723872255489
2085,0.3,TRUE,FALSE,0.075,0.325,0.05,NA,NA,0,0.2607,0,0.0901319361277445,0.909868063872255
2067,0.3,TRUE,FALSE,0.05,0.7,0.05,0.15,0.15,0.654980838323353,0.2466,0.690999301561453,0.285540918163673,0.0594782435129741
2086,0.3,TRUE,FALSE,0.075,0.35,0.05,NA,NA,0,0.2327,0,0.088885628742515,0.911114371257485
2087,0.3,TRUE,FALSE,0.075,0.375,0.05,NA,NA,0,0.2548,0,0.089460878243513,0.910539121756487
2078,0.3,TRUE,FALSE,0.05,0.975,0.05,0.15,0.15,0.776844910179641,0.2393,0.791228238835159,0.192200998003992,0.0309540918163673
2089,0.3,TRUE,FALSE,0.075,0.425,0.05,NA,NA,0,0.25,0,0.0918878243512974,0.908112175648703
2088,0.3,TRUE,FALSE,0.075,0.4,0.05,NA,NA,0,0.2485,0,0.0902305389221557,0.909769461077844
2090,0.3,TRUE,FALSE,0.075,0.45,0.05,NA,NA,0,0.2477,0,0.0927734530938124,0.907226546906188
2091,0.3,TRUE,FALSE,0.075,0.475,0.05,NA,NA,0,0.24,0,0.0912211576846307,0.908778842315369
2060,0.3,TRUE,FALSE,0.05,0.525,0.05,0.15,0.15,0.469108982035928,0.2422,0.56418936625203,0.38444371257485,0.146447305389222
2079,0.3,TRUE,FALSE,0.05,1,0.05,0.15,0.15,0.78412375249501,0.259,0.79771155595141,0.18644630738523,0.0294299401197605
2092,0.3,TRUE,FALSE,0.075,0.5,0.05,NA,NA,0,0.2589,0,0.0918033932135729,0.908196606786427
2093,0.3,TRUE,FALSE,0.075,0.525,0.05,NA,NA,0,0.2622,0,0.0906818363273453,0.909318163672655
2094,0.3,TRUE,FALSE,0.075,0.55,0.05,0.2,0.2,0.230718562874251,0.2511,0.442472843242529,0.364514371257485,0.404767065868263
2065,0.3,TRUE,FALSE,0.05,0.65,0.05,0.15,0.15,0.617586427145709,0.2341,0.664437271747047,0.309289620758483,0.0731239520958084
2024,0.3,TRUE,FALSE,0.025,0.45,0.05,0.1,0.1,0.587825149700599,0.2506,0.642862862926377,0.326663473053892,0.085511377245509
2095,0.3,TRUE,FALSE,0.075,0.575,0.05,0.2,0.2,0.333038522954092,0.2483,0.483348558632535,0.407840718562874,0.259120758483034
2096,0.3,TRUE,FALSE,0.075,0.6,0.05,0.2,0.2,0.381302594810379,0.2455,0.510163550409033,0.407761676646707,0.210935728542914
2023,0.3,TRUE,FALSE,0.025,0.425,0.05,0.1,0.1,0.552240718562874,0.2427,0.620242049825693,0.344511576846307,0.103247704590818
2097,0.3,TRUE,FALSE,0.075,0.625,0.05,0.2,0.2,0.427601596806387,0.2436,0.53387281252653,0.40201377245509,0.170384630738523
2113,0.3,TRUE,FALSE,0.1,0.2,0.05,NA,NA,0,0.2529,0,0.0923209580838323,0.907679041916168
2064,0.3,TRUE,FALSE,0.05,0.625,0.05,0.15,0.15,0.594181037924152,0.2532,0.644929649640877,0.325642315369261,0.0801766467065868
2114,0.3,TRUE,FALSE,0.1,0.225,0.05,NA,NA,0,0.2491,0,0.0894748502994012,0.910525149700599
2061,0.3,TRUE,FALSE,0.05,0.55,0.05,0.15,0.15,0.517844111776447,0.2446,0.592307963066377,0.366449700598802,0.115706187624751
2116,0.3,TRUE,FALSE,0.1,0.275,0.05,NA,NA,0,0.2426,0,0.0916223552894212,0.908377644710579
2115,0.3,TRUE,FALSE,0.1,0.25,0.05,NA,NA,0,0.2384,0,0.0935251497005988,0.906474850299401
2117,0.3,TRUE,FALSE,0.1,0.3,0.05,NA,NA,0,0.2371,0,0.0909147704590818,0.909085229540918
2118,0.3,TRUE,FALSE,0.1,0.325,0.05,NA,NA,0,0.2636,0,0.0925203592814371,0.907479640718563
2119,0.3,TRUE,FALSE,0.1,0.35,0.05,NA,NA,0,0.2298,0,0.0902620758483034,0.909737924151697
2062,0.3,TRUE,FALSE,0.05,0.575,0.05,0.15,0.15,0.539291816367265,0.2536,0.608216944607259,0.353881636726547,0.106826546906188
2120,0.3,TRUE,FALSE,0.1,0.375,0.05,NA,NA,0,0.2467,0,0.0915221556886227,0.908477844311377
2122,0.3,TRUE,FALSE,0.1,0.425,0.05,NA,NA,0,0.2444,0,0.0909956087824351,0.909004391217565
2098,0.3,TRUE,FALSE,0.075,0.65,0.05,0.2,0.2,0.456025149700599,0.2378,0.552623720763307,0.393304391217565,0.150670459081836
2121,0.3,TRUE,FALSE,0.1,0.4,0.05,NA,NA,0,0.2575,0,0.0930820359281437,0.906917964071856
2108,0.3,TRUE,FALSE,0.075,0.9,0.05,0.2,0.2,0.659961676646707,0.248,0.694216488958108,0.281743313373253,0.0582950099800399
2123,0.3,TRUE,FALSE,0.1,0.45,0.05,NA,NA,0,0.2501,0,0.0905576846307385,0.909442315369261
2128,0.3,TRUE,FALSE,0.1,0.575,0.05,NA,NA,0,0.2526,0,0.0912768463073852,0.908723153692615
2124,0.3,TRUE,FALSE,0.1,0.475,0.05,NA,NA,0,0.2506,0,0.0918834331337325,0.908116566866268
2109,0.3,TRUE,FALSE,0.075,0.925,0.05,0.2,0.2,0.675042914171657,0.2373,0.705730897895086,0.271789421157685,0.0531676646706587
2125,0.3,TRUE,FALSE,0.1,0.5,0.05,NA,NA,0,0.2462,0,0.089922754491018,0.910077245508982
2126,0.3,TRUE,FALSE,0.1,0.525,0.05,NA,NA,0,0.2519,0,0.0902441117764471,0.909755888223553
2110,0.3,TRUE,FALSE,0.075,0.95,0.05,0.2,0.2,0.684312974051896,0.2352,0.71322964731769,0.264363073852295,0.0513239520958084
2112,0.3,TRUE,FALSE,0.075,1,0.05,0.2,0.2,0.705257085828343,0.2365,0.730709693172339,0.248787425149701,0.0459554890219561
2127,0.3,TRUE,FALSE,0.1,0.55,0.05,NA,NA,0,0.2487,0,0.0892417165668663,0.910758283433134
2129,0.3,TRUE,FALSE,0.1,0.6,0.05,NA,NA,0,0.243,0,0.0898882235528942,0.910111776447106
2111,0.3,TRUE,FALSE,0.075,0.975,0.05,0.2,0.2,0.696290618762475,0.2472,0.72268531849567,0.255365469061876,0.0483439121756487
2130,0.3,TRUE,FALSE,0.1,0.625,0.05,NA,NA,0,0.2445,0,0.0891864271457086,0.910813572854291
2107,0.3,TRUE,FALSE,0.075,0.875,0.05,0.2,0.2,0.646380838323353,0.2469,0.683932711921144,0.291658483033932,0.0619606786427146
2131,0.3,TRUE,FALSE,0.1,0.65,0.05,NA,NA,0,0.2507,0,0.0897271457085828,0.910272854291417
2105,0.3,TRUE,FALSE,0.075,0.825,0.05,0.2,0.2,0.622208383233533,0.2416,0.664196980127653,0.308612974051896,0.0691786427145709
2063,0.3,TRUE,FALSE,0.05,0.6,0.05,0.15,0.15,0.576022155688623,0.2375,0.633257340106174,0.335549700598802,0.0884281437125748
2132,0.3,TRUE,FALSE,0.1,0.675,0.05,0.25,0.25,0.231882634730539,0.2601,0.441531497738423,0.374124151696607,0.393993213572854
2133,0.3,TRUE,FALSE,0.1,0.7,0.05,0.25,0.25,0.305749101796407,0.2465,0.471736518071534,0.405070658682635,0.289180239520958
