"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
912,0.9,TRUE,FALSE,0.05,0.7,0.05,0.15,0.15,0.65442375249501,0.8338,0.690494126204434,0.285705788423154,0.0598704590818363
933,0.9,TRUE,FALSE,0.075,0.4,0.05,NA,NA,0,0.8339,0,0.0902612774451098,0.90973872255489
932,0.9,TRUE,FALSE,0.075,0.375,0.05,NA,NA,0,0.841,0,0.091061876247505,0.908938123752495
905,0.9,TRUE,FALSE,0.05,0.525,0.05,0.15,0.15,0.480617964071856,0.8329,0.569283282786465,0.380054890219561,0.139327145708583
924,0.9,TRUE,FALSE,0.05,1,0.05,0.15,0.15,0.784310179640719,0.8408,0.797696661426787,0.186862075848303,0.028827744510978
934,0.9,TRUE,FALSE,0.075,0.425,0.05,NA,NA,0,0.8421,0,0.0913187624750499,0.90868123752495
935,0.9,TRUE,FALSE,0.075,0.45,0.05,NA,NA,0,0.8376,0,0.0902293413173653,0.909770658682635
936,0.9,TRUE,FALSE,0.075,0.475,0.05,NA,NA,0,0.8408,0,0.0910473053892216,0.908952694610778
937,0.9,TRUE,FALSE,0.075,0.5,0.05,NA,NA,0,0.8433,0,0.0905988023952096,0.90940119760479
939,0.9,TRUE,FALSE,0.075,0.55,0.05,0.2,0.2,0.211469261477046,0.8371,0.439425948133063,0.353168662674651,0.435362075848303
938,0.9,TRUE,FALSE,0.075,0.525,0.05,NA,NA,0.0060497005988024,0.8405,0.370028479116225,0.101719361277445,0.892230938123753
911,0.9,TRUE,FALSE,0.05,0.675,0.05,0.15,0.15,0.635136526946108,0.8437,0.67738246051886,0.297923153692615,0.0669403193612775
910,0.9,TRUE,FALSE,0.05,0.65,0.05,0.15,0.15,0.621234930139721,0.8342,0.665256656201783,0.307025948103792,0.071739121756487
868,0.9,TRUE,FALSE,0.025,0.425,0.05,0.1,0.1,0.555535528942116,0.8441,0.619288801582186,0.345249900199601,0.0992145708582834
940,0.9,TRUE,FALSE,0.075,0.575,0.05,0.2,0.2,0.313731536926148,0.8426,0.480351155746322,0.397168862275449,0.289099600798403
958,0.9,TRUE,FALSE,0.1,0.2,0.05,NA,NA,0,0.8409,0,0.0915087824351297,0.90849121756487
906,0.9,TRUE,FALSE,0.05,0.55,0.05,0.15,0.15,0.513451896207585,0.8334,0.589290215810394,0.369269461077844,0.117278642714571
959,0.9,TRUE,FALSE,0.1,0.225,0.05,NA,NA,0,0.8382,0,0.0907105788423154,0.909289421157685
941,0.9,TRUE,FALSE,0.075,0.6,0.05,0.2,0.2,0.382381836327345,0.8414,0.510519266662999,0.406304790419162,0.211313373253493
942,0.9,TRUE,FALSE,0.075,0.625,0.05,0.2,0.2,0.428047704590818,0.8381,0.534195930885253,0.400983433133733,0.170968862275449
960,0.9,TRUE,FALSE,0.1,0.25,0.05,NA,NA,0,0.8414,0,0.0904231536926148,0.909576846307385
961,0.9,TRUE,FALSE,0.1,0.275,0.05,NA,NA,0,0.8423,0,0.0921463073852295,0.90785369261477
954,0.9,TRUE,FALSE,0.075,0.925,0.05,0.2,0.2,0.673696407185629,0.8352,0.70483831644124,0.272559680638723,0.0537439121756487
909,0.9,TRUE,FALSE,0.05,0.625,0.05,0.15,0.15,0.602020758483034,0.8458,0.652968849844241,0.319574850299401,0.0784043912175649
962,0.9,TRUE,FALSE,0.1,0.3,0.05,NA,NA,0,0.8363,0,0.0892590818363273,0.910740918163673
963,0.9,TRUE,FALSE,0.1,0.325,0.05,NA,NA,0,0.8404,0,0.0912572854291417,0.908742714570858
943,0.9,TRUE,FALSE,0.075,0.65,0.05,0.2,0.2,0.458853093812375,0.8363,0.55254470146508,0.391787425149701,0.149359481037924
964,0.9,TRUE,FALSE,0.1,0.35,0.05,NA,NA,0,0.831,0,0.0901213572854291,0.909878642714571
967,0.9,TRUE,FALSE,0.1,0.425,0.05,NA,NA,0,0.8368,0,0.0906243512974052,0.909375648702595
957,0.9,TRUE,FALSE,0.075,1,0.05,0.2,0.2,0.705722155688623,0.8384,0.730940875755645,0.248458682634731,0.0458191616766467
965,0.9,TRUE,FALSE,0.1,0.375,0.05,NA,NA,0,0.8408,0,0.0906437125748503,0.90935628742515
966,0.9,TRUE,FALSE,0.1,0.4,0.05,NA,NA,0,0.8347,0,0.0890594810379241,0.910940518962076
956,0.9,TRUE,FALSE,0.075,0.975,0.05,0.2,0.2,0.693928942115768,0.8343,0.721850100515025,0.256833133732535,0.0492379241516966
968,0.9,TRUE,FALSE,0.1,0.45,0.05,NA,NA,0,0.835,0,0.0911117764471058,0.908888223552894
969,0.9,TRUE,FALSE,0.1,0.475,0.05,NA,NA,0,0.8393,0,0.0918864271457086,0.908113572854291
955,0.9,TRUE,FALSE,0.075,0.95,0.05,0.2,0.2,0.684255089820359,0.8342,0.713116165586159,0.264139321357285,0.0516055888223553
973,0.9,TRUE,FALSE,0.1,0.575,0.05,NA,NA,0,0.8326,0,0.090711377245509,0.909288622754491
970,0.9,TRUE,FALSE,0.1,0.5,0.05,NA,NA,0,0.8323,0,0.0919135728542914,0.908086427145709
953,0.9,TRUE,FALSE,0.075,0.9,0.05,0.2,0.2,0.662540518962076,0.8419,0.696626774494334,0.279420958083832,0.0580385229540918
972,0.9,TRUE,FALSE,0.1,0.55,0.05,NA,NA,0,0.8422,0,0.0899075848303393,0.910092415169661
971,0.9,TRUE,FALSE,0.1,0.525,0.05,NA,NA,0,0.8431,0,0.0905984031936128,0.909401596806387
974,0.9,TRUE,FALSE,0.1,0.6,0.05,NA,NA,0,0.8382,0,0.0904307385229541,0.909569261477046
944,0.9,TRUE,FALSE,0.075,0.675,0.05,0.2,0.2,0.492269261477046,0.8399,0.574692053613874,0.380782634730539,0.126948103792415
975,0.9,TRUE,FALSE,0.1,0.625,0.05,NA,NA,0,0.8408,0,0.089711377245509,0.910288622754491
976,0.9,TRUE,FALSE,0.1,0.65,0.05,NA,NA,0,0.8353,0,0.0913802395209581,0.908619760479042
908,0.9,TRUE,FALSE,0.05,0.6,0.05,0.15,0.15,0.573499800399202,0.8389,0.630359995108351,0.337269660678643,0.0892305389221557
952,0.9,TRUE,FALSE,0.075,0.875,0.05,0.2,0.2,0.650998403193613,0.8309,0.687685918736313,0.288610778443114,0.0603908183632735
977,0.9,TRUE,FALSE,0.1,0.675,0.05,0.25,0.25,0.161655289421158,0.8379,0.415992104993542,0.317390818363273,0.520953892215569
951,0.9,TRUE,FALSE,0.075,0.85,0.05,0.2,0.2,0.632164870259481,0.836,0.673253753478661,0.300490818363273,0.0673443113772455
907,0.9,TRUE,FALSE,0.05,0.575,0.05,0.15,0.15,0.547111576846307,0.8372,0.612268907161024,0.351100199600798,0.101788223552894
978,0.9,TRUE,FALSE,0.1,0.7,0.05,0.25,0.25,0.312759481037924,0.8419,0.47212375491689,0.408694011976048,0.278546506986028
950,0.9,TRUE,FALSE,0.075,0.825,0.05,0.2,0.2,0.61870499001996,0.8228,0.661455522468125,0.310440918163673,0.0708540918163673
