"ID","best","p1","p2","p3","p1_sd","p2_sd","p3_sd"
22,1,0.426122527612598,0.10462189308,2.55379602456741,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
18,1,0.4268435109022,0.12342003046093,6.16310148558326,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
23,1,0.426127565880107,0.104651840017235,2.55342985119236,NA,NA,NA
15,2,1.13111817087023,2.27919268573411,0.107251082251082,0.0495173958055626,0.47103920183262,0.0413646500767182
17,1,0.426851838475588,0.123465623222976,6.16279957318145,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA
11,2,1.05578127878912,2.75731596309309,0.0641932336669179,0.0578683670385494,0.492992891609801,0.0255076387238965
16,2,1.12257647795213,2.17991151299369,0.118055555555556,0.0132270439192949,0.821078330121203,0.00982092751647983
13,2,1.07666859661699,3.04313450317866,0.0709054834054834,0.0263982416705939,0.9778840507454,0.0105826596394589
14,2,1.10078857268243,2.47141348598868,0.100133992991136,0.028024500166692,0.882180214386183,0.0206898610246813
12,2,1.08060618310226,2.54007487629698,0.0666654995331466,0.0263395198428294,0.764587424934801,0.0182671608597103
24,NA,NA,NA,NA,NA,NA,NA
1,3,5.28985657798345,0.713267780080346,43.6327076240237,1.07908365199068,0.144570498381695,16.8192675433604
10,2,1.03595525906902,3.2625912566419,0.0387150223793191,0.049717162094864,0.51529417454212,0.00927369524602339
9,2,1.08382635423489,2.33164580180724,0.025252558802024,0.0537492645916324,0.457099236200896,0.00721071739350663
37,NA,NA,NA,NA,NA,NA,NA
8,2,1.05373730820563,2.56166516729989,0.0196843145313431,0.0647589072061338,0.329761727928817,0.00343520481161449
34,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA
7,2,1.13027982851062,2.08709933397234,0.0119184677926386,0.0772353016382453,0.417411801171485,0.00306324578218058
38,1,0.380636135359631,1.07089644196692,7.31888818930425,0.0416068035148936,0.101201457061546,6.85732604877741
2,3,6.28188049086059,0.739190702575738,161.1397893361,1.24423281854208,0.105847851139061,78.7338779584965
25,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA
39,3,4.29832283445473,0.793365631537441,49.1880753612309,0.889243060093223,0.189749064992153,34.3993662059599
33,NA,NA,NA,NA,NA,NA,NA
40,3,6.45219386856536,0.615378180751413,49.626205699704,1.04321975656503,0.113437806650535,12.2924931029774
6,2,1.12774995645451,1.89832654861435,0.00654468476240359,0.137806012657851,0.301736836503351,0.00182984615464656
41,3,6.55960422526605,0.684980995211758,127.418434363752,1.30123945273631,0.106284119677997,66.1944411579578
58,2,1.07983853262721,2.54180281797063,0.035756816174239,0.052265064385311,0.884388296090132,0.0103363479454166
57,2,1.08681792493531,2.46493855095415,0.0347686416139178,0.0444532459331061,0.655203597254327,0.00997033480825658
53,2,1.04711873661641,2.22013473655851,0.0174652341451478,0.116701066364448,0.512608287199584,0.00236494573759641
56,2,1.12176975907048,2.10665121015378,0.0246244894976501,0.0547847700800646,0.44332196701284,0.00532933086298344
55,2,1.04402812869059,2.47976194096129,0.0226860306873771,0.0825390134709448,0.383590155205697,0.00522883072542705
61,2,1.09338445775333,2.64735017812979,0.0472861761561452,0.038991580630878,0.855054655421895,0.00900438706422934
59,2,1.09828061349796,2.18764411051473,0.0385271857298711,0.109149451325684,0.675894046685539,0.00895986341779271
54,2,1.11651363311865,1.97179561371799,0.0207701681313787,0.0474188654073381,0.423207967071591,0.00662455894218291
42,3,6.50789892637597,0.723017162127875,417.776786159725,0.931422866450757,0.0626463354869993,250.15838012392
51,2,1.12625095460521,1.91390235005139,0.0114255307437596,0.127595218649586,0.303856466520082,0.00262721611146837
52,2,1.11202127507943,2.02715579611949,0.0128642451807743,0.117430302274392,0.43551176346934,0.00297694693965229
5,2,1.31218908105887,1.53695980024609,0.00354632377246942,0.149899972997281,0.166811427997103,0.00073320426645009
50,2,1.10697659983131,1.91342893082644,0.00929277407376179,0.080732817686577,0.235886265500739,0.00224300260744247
3,3,7.46159623672854,0.668956025706716,2787.13821752808,1.6047920158401,0.100110414715668,5706.77873993075
