"ID","starting","globalgrazing","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
3,"low",TRUE,0,0.28,0.1,NA,NA,0,0,0.0898217564870259,0.910178243512974
1,"low",TRUE,0,0.2,0.1,NA,NA,0,0,0.0931568862275449,0.906843113772455
2,"low",TRUE,0,0.24,0.1,NA,NA,0,0,0.0897556886227545,0.910244311377245
4,"low",TRUE,0,0.32,0.1,0.1,0.1,0.318091816367265,0.482232739644589,0.38559620758483,0.296311976047904
11,"low",TRUE,0,0.6,0.1,0.1,0.1,0.725036726546906,0.748290794728291,0.232794810379242,0.0421684630738523
14,"low",TRUE,0,0.72,0.1,0.1,0.1,0.782221956087824,0.796647362752485,0.187921556886228,0.0298564870259481
13,"low",TRUE,0,0.68,0.1,0.1,0.1,0.766368862275449,0.782524479248874,0.200632135728543,0.032999001996008
5,"low",TRUE,0,0.36,0.1,0.1,0.1,0.43594750499002,0.543842742063233,0.388618363273453,0.175434131736527
12,"low",TRUE,0,0.64,0.1,0.1,0.1,0.745845708582834,0.765093076740304,0.216611776447106,0.0375425149700599
10,"low",TRUE,0,0.56,0.1,0.1,0.1,0.692378043912176,0.722321709452715,0.256051896207585,0.0515700598802395
9,"low",TRUE,0,0.52,0.1,0.1,0.1,0.66098003992016,0.698142652403599,0.278611377245509,0.0604085828343313
15,"low",TRUE,0,0.76,0.1,0.1,0.1,0.800421556886228,0.812262244293961,0.172968862275449,0.0266095808383234
17,"low",TRUE,0,0.84,0.1,0.1,0.1,0.823167265469062,0.832176571707633,0.154024351297405,0.0228083832335329
23,"low",TRUE,0.005,0.24,0.1,NA,NA,0,0,0.0887874251497006,0.911212574850299
22,"low",TRUE,0.005,0.2,0.1,NA,NA,0,0,0.0899403193612774,0.910059680638723
16,"low",TRUE,0,0.8,0.1,0.1,0.1,0.811294610778443,0.821683838395542,0.163921956087824,0.0247834331337325
18,"low",TRUE,0,0.88,0.1,0.1,0.1,0.832480838323353,0.840413037591094,0.146396806387226,0.0211223552894212
20,"low",TRUE,0,0.96,0.1,0.1,0.1,0.849995808383234,0.856575355647888,0.131617764471058,0.0183864271457086
