"ID","starting","grazing","environmt","mortality","mortality_border","rho_plus","rho_plus_ungrazed","q_plus","q_plus_ungrazed","rho_zero","rho_minus"
1,"low",0,0.2,NA,NA,0,0,NA,NA,0.0903821178821179,0.909617882117882
12,"low",0,0.244221105527638,NA,NA,0,0,NA,NA,0.091163036963037,0.908836963036963
8,"low",0,0.228140703517588,NA,NA,0,0,NA,NA,0.09128001998002,0.90871998001998
13,"low",0,0.248241206030151,NA,NA,0,0,NA,NA,0.0897112887112887,0.910288711288711
9,"low",0,0.232160804020101,NA,NA,0,0,NA,NA,0.0905207792207792,0.909479220779221
5,"low",0,0.21608040201005,NA,NA,0,0,NA,NA,0.0893027972027972,0.910697202797203
3,"low",0,0.208040201005025,NA,NA,0,0,NA,NA,0.092214985014985,0.907785014985015
22,"low",0,0.284422110552764,NA,NA,0,0,NA,NA,0.0922021978021978,0.907797802197802
4,"low",0,0.212060301507538,NA,NA,0,0,NA,NA,0.092148951048951,0.907851048951049
23,"low",0,0.288442211055276,NA,NA,0,0,NA,NA,0.0887723276723277,0.911227672327672
18,"low",0,0.268341708542714,NA,NA,0,0,NA,NA,0.0914096903096903,0.90859030969031
7,"low",0,0.224120603015075,NA,NA,0,0,NA,NA,0.0902026973026973,0.909797302697303
2,"low",0,0.204020100502513,NA,NA,0,0,NA,NA,0.0906695304695305,0.90933046953047
16,"low",0,0.260301507537688,NA,NA,0,0,NA,NA,0.0908187812187812,0.909181218781219
20,"low",0,0.276381909547739,NA,NA,0,0,NA,NA,0.0898380619380619,0.910161938061938
19,"low",0,0.272361809045226,NA,NA,0,0,NA,NA,0.0928358641358641,0.907164135864136
17,"low",0,0.264321608040201,NA,NA,0,0,NA,NA,0.091346953046953,0.908653046953047
6,"low",0,0.220100502512563,NA,NA,0,0,NA,NA,0.0915695304695305,0.90843046953047
11,"low",0,0.240201005025126,NA,NA,0,0,NA,NA,0.0921577422577423,0.907842257742258
15,"low",0,0.256281407035176,NA,NA,0,0,NA,NA,0.0887782217782218,0.911221778221778
10,"low",0,0.236180904522613,NA,NA,0,0,NA,NA,0.0908182817182817,0.909181718281718
14,"low",0,0.252261306532663,NA,NA,0,0,NA,NA,0.0902200799200799,0.90977992007992
21,"low",0,0.280402010050251,NA,NA,0,0,NA,NA,0.0908323676323676,0.909167632367632
1,"high",0,0.2,NA,NA,0,0,NA,NA,0.0903821178821179,0.909617882117882
9,"high",0,0.232160804020101,NA,NA,0,0,NA,NA,0.0905207792207792,0.909479220779221
12,"high",0,0.244221105527638,NA,NA,0,0,NA,NA,0.091163036963037,0.908836963036963
8,"high",0,0.228140703517588,NA,NA,0,0,NA,NA,0.09128001998002,0.90871998001998
23,"high",0,0.288442211055276,NA,NA,0,0,NA,NA,0.0887723276723277,0.911227672327672
13,"high",0,0.248241206030151,NA,NA,0,0,NA,NA,0.0897112887112887,0.910288711288711
7,"high",0,0.224120603015075,NA,NA,0,0,NA,NA,0.0902026973026973,0.909797302697303
3,"high",0,0.208040201005025,NA,NA,0,0,NA,NA,0.092214985014985,0.907785014985015
22,"high",0,0.284422110552764,NA,NA,0,0,NA,NA,0.0922021978021978,0.907797802197802
5,"high",0,0.21608040201005,NA,NA,0,0,NA,NA,0.0893027972027972,0.910697202797203
18,"high",0,0.268341708542714,NA,NA,0,0,NA,NA,0.0914096903096903,0.90859030969031
10,"high",0,0.236180904522613,NA,NA,0,0,NA,NA,0.0908182817182817,0.909181718281718
14,"high",0,0.252261306532663,NA,NA,0,0,NA,NA,0.0902200799200799,0.90977992007992
20,"high",0,0.276381909547739,NA,NA,0,0,NA,NA,0.0898380619380619,0.910161938061938
4,"high",0,0.212060301507538,NA,NA,0,0,NA,NA,0.092148951048951,0.907851048951049
15,"high",0,0.256281407035176,NA,NA,0,0,NA,NA,0.0887782217782218,0.911221778221778
17,"high",0,0.264321608040201,NA,NA,0,0,NA,NA,0.091346953046953,0.908653046953047
19,"high",0,0.272361809045226,NA,NA,0,0,NA,NA,0.0928358641358641,0.907164135864136
2,"high",0,0.204020100502513,NA,NA,0,0,NA,NA,0.0906695304695305,0.90933046953047
16,"high",0,0.260301507537688,NA,NA,0,0,NA,NA,0.0908187812187812,0.909181218781219
21,"high",0,0.280402010050251,NA,NA,0,0,NA,NA,0.0908323676323676,0.909167632367632
11,"high",0,0.240201005025126,NA,NA,0,0,NA,NA,0.0921577422577423,0.907842257742258
6,"high",0,0.220100502512563,NA,NA,0,0,NA,NA,0.0915695304695305,0.90843046953047
24,"low",0,0.292462311557789,NA,NA,0,0,NA,NA,0.0891515484515484,0.910848451548452
26,"low",0,0.300502512562814,NA,NA,0,0,NA,NA,0.0900538461538462,0.909946153846154
27,"low",0,0.304522613065327,NA,NA,0,0,NA,NA,0.0897494505494505,0.91025054945055
25,"low",0,0.296482412060302,NA,NA,0,0,NA,NA,0.0914909090909091,0.908509090909091
30,"low",0,0.316582914572864,NA,NA,0,0,NA,NA,0.0911758241758242,0.908824175824176
32,"low",0,0.324623115577889,NA,NA,0,0,NA,NA,0.0910637362637363,0.908936263736264
28,"low",0,0.308542713567839,NA,NA,0,0,NA,NA,0.0891482517482518,0.910851748251748
29,"low",0,0.312562814070352,NA,NA,0,0,NA,NA,0.0891516483516483,0.910848351648352
35,"low",0,0.336683417085427,NA,NA,0,0,NA,NA,0.0922412587412587,0.907758741258741
31,"low",0,0.320603015075377,NA,NA,0,0,NA,NA,0.0922055944055944,0.907794405594406
36,"low",0,0.34070351758794,NA,NA,0,0,NA,NA,0.0922351648351648,0.907764835164835
40,"low",0,0.35678391959799,NA,NA,0,0,NA,NA,0.0899651348651349,0.910034865134865
33,"low",0,0.328643216080402,NA,NA,0,0,NA,NA,0.0904020979020979,0.909597902097902
39,"low",0,0.352763819095477,NA,NA,0,0,NA,NA,0.0925488511488512,0.907451148851149
38,"low",0,0.348743718592965,NA,NA,0,0,NA,NA,0.0890324675324675,0.910967532467532
34,"low",0,0.332663316582915,NA,NA,0,0,NA,NA,0.0894088911088911,0.910591108891109
45,"low",0,0.376884422110553,NA,NA,0,0,NA,NA,0.0898908091908092,0.910109190809191
37,"low",0,0.344723618090452,NA,NA,0,0,NA,NA,0.0909749250749251,0.909025074925075
43,"low",0,0.368844221105528,NA,NA,0,0,NA,NA,0.0909133866133866,0.909086613386613
42,"low",0,0.364824120603015,NA,NA,0,0,NA,NA,0.089918981018981,0.910081018981019
41,"low",0,0.360804020100503,NA,NA,0,0,NA,NA,0.0904141858141858,0.909585814185814
